Rank	Population Density â–¼	Zip / Population
3.	19,576.7/sq mi	98121 / 12,753
4.	17,315.9/sq mi	98101 / 10,803
5.	15,103.1/sq mi	98104 / 13,177
6.	14,600.0/sq mi	98102 / 22,776
7.	9,640.9/sq mi	98122 / 34,054
8.	9,272.2/sq mi	98109 / 22,401
9.	9,203.7/sq mi	98107 / 22,772
10.	8,983.8/sq mi	98103 / 47,559
11.	7,672.6/sq mi	98119 / 23,506
12.	6,984.6/sq mi	98117 / 31,778
13.	6,803.3/sq mi	98105 / 44,981
14.	6,457.6/sq mi	98116 / 23,780
15.	6,451.8/sq mi	98133 / 46,227
16.	5,815.2/sq mi	98007 / 25,521
17.	5,755.8/sq mi	98126 / 21,648
18.	5,584.5/sq mi	98115 / 48,558
19.	5,423.3/sq mi	98125 / 37,560
20.	5,328.9/sq mi	98144 / 27,496
21.	5,000.3/sq mi	98118 / 44,440
22.	4,897.5/sq mi	98030 / 35,302
23.	4,882.2/sq mi	98136 / 15,302
24.	4,862.9/sq mi	98031 / 36,953
25.	4,825.1/sq mi	98146 / 25,722
26.	4,802.5/sq mi	98112 / 22,290
27.	4,699.8/sq mi	98002 / 34,240
28.	4,417.6/sq mi	98055 / 21,532
29.	4,298.2/sq mi	98106 / 25,023
30.	4,217.9/sq mi	98023 / 49,402
31.	4,116.6/sq mi	98198 / 35,748
32.	4,112.6/sq mi	98155 / 33,850
33.	4,066.5/sq mi	98178 / 23,866
34.	3,914.3/sq mi	98034 / 42,335
35.	3,890.6/sq mi	98003 / 45,632
36.	3,761.0/sq mi	98011 / 30,787
37.	3,735.9/sq mi	98056 / 33,878
38.	3,710.4/sq mi	98168 / 33,604
39.	3,619.2/sq mi	98199 / 20,548
40.	3,617.2/sq mi	98004 / 31,254
41.	3,328.0/sq mi	98028 / 21,232
42.	3,256.8/sq mi	98148 / 10,207
43.	3,239.7/sq mi	98006 / 37,059
44.	3,237.3/sq mi	98033 / 35,605
45.	3,108.6/sq mi	98188 / 24,373
46.	3,082.6/sq mi	98108 / 24,220
47.	2,930.8/sq mi	98166 / 21,187
48.	2,929.2/sq mi	98008 / 24,452
49.	2,920.0/sq mi	98029 / 26,193
50.	2,910.8/sq mi	98052 / 60,920
51.	2,381.2/sq mi	98005 / 17,880
52.	2,164.2/sq mi	98058 / 42,764
53.	2,158.2/sq mi	98074 / 26,386
54.	2,111.6/sq mi	98032 / 35,935
55.	2,024.0/sq mi	98075 / 22,483
56.	1,978.6/sq mi	98057 / 12,187
57.	1,822.2/sq mi	98059 / 36,504
58.	1,803.0/sq mi	98040 / 23,636
59.	1,678.8/sq mi	98001 / 31,742
60.	1,505.9/sq mi	98042 / 44,599
61.	726.6/sq mi	98053 / 20,739
62.	536.6/sq mi	98039 / 3,080
63.	509.5/sq mi	98038 / 34,076
64.	476.9/sq mi	98027 / 27,147
66.	298.0/sq mi	98010 / 4,789
68.	245.0/sq mi	98024 / 5,988
69.	210.0/sq mi	98070 / 10,447
70.	207.2/sq mi	98134 / 850
71.	176.1/sq mi	98065 / 13,202
72.	146.6/sq mi	98014 / 6,902
73.	65.8/sq mi	98051 / 3,402
74.	62.9/sq mi	98050 / 208
75.	42.7/sq mi	98045 / 14,643
76.	1.3/sq mi	98224 / 261
77.	0.8/sq mi	98288 / 169